"city_mpg","highway_mpg","horsepower"
"18","28","230"
"17","26","230"
"17","25","230"
"18","28","230"
"19","28","300"
"19","26","300"
"19","28","300"
"23","28","171"
"21","28","171"
"20","27","171"
"21","28","171"
"14","19","240"
"20","27","171"
"13","17","240"
"21","28","171"
"14","19","240"
"20","27","171"
"13","17","240"
"23","28","171"
"21","28","171"
"22","26","171"
"21","28","171"
"19","25","240"
"22","26","171"
"13","17","240"
"21","28","171"
"19","25","240"
"22","26","171"
"18","24","210"
"14","19","268"
"18","24","210"
"15","19","268"
"25","36","138"
"22","35","138"
"26","38","138"
"26","38","138"
"28","42","138"
"26","39","138"
"26","38","138"
"26","38","138"
"26","38","138"
"17","25","230"
"17","26","230"
"17","25","230"
"18","27","230"
"26","36","136"
"22","35","136"
"24","36","138"
"28","42","138"
"26","37","138"
"24","36","138"
"24","36","138"
"18","25","265"
"18","25","265"
"18","25","265"
"17","23","265"
"18","25","265"
"17","23","265"
"17","23","265"
"22","28","171"
"21","28","171"
"22","26","171"
"21","28","171"
"19","25","240"
"22","26","171"
"13","17","240"
"21","28","171"
"19","25","240"
"22","26","171"
"13","17","240"
"24","32","122"
"26","31","122"
"24","32","122"
"26","34","107"
"25","33","107"
"26","34","107"
"13","18","403"
"10","15","403"
"9","13","403"
"10","15","403"
"13","18","403"
"10","15","403"
"13","18","403"
"26","31","122"
"26","33","107"
"24","32","122"
"26","34","107"
"24","32","122"
"26","34","107"
"17","26","230"
"18","27","230"
"17","25","230"
"17","26","230"
"14","20","403"
"10","15","403"
"14","20","403"
"10","15","403"
"10","16","403"
"10","15","403"
"14","20","403"
"13","20","403"
"20","23","332"
"20","23","332"
"20","23","332"
"20","23","332"
"20","31","173"
"21","30","173"
"19","29","283"
"20","31","173"
"21","28","180"
"21","27","180"
"21","28","180"
"21","27","180"
"21","28","180"
"21","27","180"
"21","28","180"
"21","27","180"
"21","30","173"
"21","30","173"
"21","30","173"
"21","28","180"
"21","27","180"
"21","28","180"
"21","27","180"
"21","28","180"
"21","27","180"
"21","22","332"
"21","22","332"
"15","23","275"
"15","23","275"
"15","23","275"
"15","22","292"
"20","25","166"
"19","24","166"
"20","25","166"
"19","24","166"
"18","25","265"
"18","25","265"
"17","23","265"
"18","25","265"
"17","23","265"
"15","22","300"
"18","25","265"
"17","23","265"
"15","22","300"
"10","15","403"
"10","14","403"
"10","15","403"
"10","14","403"
"10","15","403"
"10","14","403"
"10","15","403"
"13","18","403"
"16","20","261"
"16","22","261"
"15","20","261"
"15","20","261"
"16","22","261"
"16","20","261"
"15","20","261"
"15","20","261"
"15","20","261"
"15","21","261"
"16","20","261"
"16","20","261"
"15","20","261"
"15","21","261"
"16","20","261"
"15","21","261"
"23","31","175"
"18","27","270"
"16","25","300"
"18","27","230"
"15","23","360"
"18","28","230"
"17","25","300"
"17","25","230"
"15","22","360"
"17","25","230"
"17","26","300"
"17","26","300"
"13","18","382"
"18","25","210"
"11","15","503"
"15","20","268"
"16","21","268"
"16","20","268"
"17","25","300"
"18","25","210"
"17","25","230"
"13","18","382"
"15","22","360"
"21","28","200"
"24","31","140"
"24","32","122"
"26","31","122"
"19","24","187"
"18","24","266"
"19","24","187"
"18","24","266"
"16","22","266"
"18","24","266"
"18","24","266"
"18","24","266"
"16","22","266"
"18","24","266"
"18","24","266"
"16","22","266"
"15","22","400"
"20","30","300"
"19","28","300"
"17","25","400"
"27","36","109"
"14","22","382"
"12","19","518"
"12","18","604"
"18","26","228"
"18","25","300"
"14","22","355"
"17","26","228"
"19","25","300"
"19","26","228"
"16","23","273"
"17","25","355"
"17","24","273"
"17","24","273"
"17","25","355"
"16","23","273"
"16","24","300"
"16","23","300"
"19","26","228"
"16","21","355"
"16","22","268"
"17","23","268"
"17","23","268"
"16","22","268"
"16","22","355"
"19","26","305"
"17","23","305"
"17","23","265"
"18","25","265"
"14","20","403"
"10","15","403"
"10","16","403"
"13","20","403"
"14","20","403"
"10","15","403"
"14","20","403"
"13","20","403"
"18","27","263"
"17","24","263"
"17","24","263"
"18","21","263"
"16","22","273"
"15","21","273"
"16","22","273"
"15","21","273"
"16","22","273"
"15","21","273"
"17","23","266"
"17","23","266"
"17","23","266"
"16","21","266"
"17","23","266"
"17","23","266"
"17","23","266"
"17","23","266"
"16","21","266"
"20","25","166"
"19","24","166"
